Entity,Code,Year,"Hospital beds (per 1,000 people)","Hospital beds (per 1,000 people) (Original Year)"
Afghanistan,AFG,2023,0.35,
Albania,ALB,2023,2.9,2020
Angola,AGO,2023,0.75,2019
Antigua and Barbuda,ATG,2023,3.42,
Argentina,ARG,2023,3.36,2022
Armenia,ARM,2023,4.24,
Austria,AUT,2023,6.7,2022
Azerbaijan,AZE,2023,3.68,
Bahamas,BHS,2023,2.17,
Bahrain,BHR,2023,1.84,2022
Bangladesh,BGD,2023,0.92,
Barbados,BRB,2023,6.4,
Belarus,BLR,2023,9.77,
Belgium,BEL,2023,5.42,
Belize,BLZ,2023,1,
Benin,BEN,2023,0.43,2021
Bhutan,BTN,2023,2.16,
Bolivia,BOL,2023,1.49,
Bosnia and Herzegovina,BIH,2023,2.35,2019
Botswana,BWA,2023,2.36,2022
Brazil,BRA,2023,2.52,2021
Brunei,BRN,2023,3.58,
Bulgaria,BGR,2023,8.2,
Burkina Faso,BFA,2023,0.2,2020
Cambodia,KHM,2023,0.73,2018
Canada,CAN,2023,2.54,2022
Cape Verde,CPV,2023,2.21,2022
Chad,TCD,2023,0.15,2020
Chile,CHL,2023,1.94,
China,CHN,2023,5.63,
Colombia,COL,2023,1.7,2020
Costa Rica,CRI,2023,1.14,2022
Croatia,HRV,2023,5.6,
Cuba,CUB,2023,4.33,
Cyprus,CYP,2023,2.15,2022
Czechia,CZE,2023,6.54,2022
Denmark,DNK,2023,2.43,
Djibouti,DJI,2023,1.4,2018
Dominica,DMA,2023,3.97,
Dominican Republic,DOM,2023,0.75,
East Timor,TLS,2023,0.38,
Ecuador,ECU,2023,1.32,
Egypt,EGY,2023,1.06,2021
El Salvador,SLV,2023,1.21,
Eritrea,ERI,2023,1.02,
Estonia,EST,2023,4.13,
Finland,FIN,2023,2.61,2022
France,FRA,2023,5.65,2022
Gambia,GMB,2023,1.11,
Georgia,GEO,2023,4.04,
Germany,DEU,2023,7.55,
Greece,GRC,2023,4.27,2022
Grenada,GRD,2023,3.01,
Guatemala,GTM,2023,0.45,
Guyana,GUY,2023,3.24,
Haiti,HTI,2023,4.9,
Honduras,HND,2023,0.53,
Hungary,HUN,2023,6.63,2022
Iceland,ISL,2023,2.83,2020
India,IND,2023,1.59,2021
Indonesia,IDN,2023,1.37,
Iran,IRN,2023,1.85,2019
Iraq,IRQ,2023,1.06,2018
Ireland,IRL,2023,2.96,
Israel,ISR,2023,3.14,
Italy,ITA,2023,3.06,2022
Jamaica,JAM,2023,1.65,
Japan,JPN,2023,12.59,2022
Jordan,JOR,2023,1.41,
Kazakhstan,KAZ,2023,6.54,2020
Kenya,KEN,2023,1.33,2019
Kuwait,KWT,2023,2.33,2020
Kyrgyzstan,KGZ,2023,3.73,
Laos,LAO,2023,1.71,
Latvia,LVA,2023,4.95,
Lebanon,LBN,2023,2.73,2021
Liberia,LBR,2023,1.59,2021
Libya,LBY,2023,3.5,2022
Lithuania,LTU,2023,5.71,2022
Luxembourg,LUX,2023,3.95,
Malaysia,MYS,2023,1.96,
Maldives,MDV,2023,4.56,2021
Mali,MLI,2023,0.25,2018
Malta,MLT,2023,4.09,2022
Mauritius,MUS,2023,3.8,
Mexico,MEX,2023,1.01,2022
Moldova,MDA,2023,5.54,
Mongolia,MNG,2023,8.58,
Montenegro,MNE,2023,3.82,2022
Morocco,MAR,2023,0.73,
Mozambique,MOZ,2023,0.74,2021
Myanmar,MMR,2023,1.07,2020
Nepal,NPL,2023,0.54,
Netherlands,NLD,2023,2.42,2022
New Zealand,NZL,2023,2.51,
Nicaragua,NIC,2023,0.97,2022
Niger,NER,2023,0.28,2020
North Korea,PRK,2023,12.8,2018
North Macedonia,MKD,2023,4.74,2021
Norway,NOR,2023,3.3,
Oman,OMN,2023,0.99,
Pakistan,PAK,2023,0.63,2020
Palestine,PSE,2023,1.3,2022
Panama,PAN,2023,1.95,
Papua New Guinea,PNG,2023,0.62,
Paraguay,PRY,2023,1.04,2022
Peru,PER,2023,1.56,
Philippines,PHL,2023,0.97,2021
Poland,POL,2023,6.04,2022
Portugal,PRT,2023,3.48,2022
Qatar,QAT,2023,1.25,2022
Romania,ROU,2023,7.23,2022
Russia,RUS,2023,6.81,
Rwanda,RWA,2023,0.75,
Saint Kitts and Nevis,KNA,2023,3.98,
Saint Lucia,LCA,2023,1.09,2022
Saint Vincent and the Grenadines,VCT,2023,3.21,2022
Sao Tome and Principe,STP,2023,2.91,2019
Saudi Arabia,SAU,2023,2.41,
Senegal,SEN,2023,0.71,2019
Serbia,SRB,2023,5.78,2022
Seychelles,SYC,2023,2.63,
Singapore,SGP,2023,2.81,
Slovakia,SVK,2023,5.57,
Slovenia,SVN,2023,4.11,2022
Somalia,SOM,2023,0.87,2019
South Korea,KOR,2023,12.81,2022
Spain,ESP,2023,2.91,
Sri Lanka,LKA,2023,3.93,
Sudan,SDN,2023,0.66,2021
Suriname,SUR,2023,2.87,2022
Sweden,SWE,2023,1.9,2022
Switzerland,CHE,2023,4.38,
Syria,SYR,2023,1.43,2021
Tajikistan,TJK,2023,4.04,
Tanzania,TZA,2023,0.84,2022
Thailand,THA,2023,2.39,
Togo,TGO,2023,0.33,2022
Trinidad and Tobago,TTO,2023,2.37,
Tunisia,TUN,2023,1.82,
Turkey,TUR,2023,3.05,
Turkmenistan,TKM,2023,3.6,2021
Ukraine,UKR,2023,6.14,2022
United Arab Emirates,ARE,2023,1.87,2022
United Kingdom,GBR,2023,2.42,2022
United States,USA,2023,2.68,2022
Uruguay,URY,2023,2.44,
Uzbekistan,UZB,2023,4.89,
Venezuela,VEN,2023,0.99,2020
Yemen,YEM,2023,0.46,
