"Country","Total_Cases","Total_Deaths","Avg_Incidence_Rate","Avg_Death_Rate","Peak_Cases_Year","Peak_Deaths_Year"
"Angola",140952106,396694,23903.4691666667,71.8128958333333,2021,2001
"Benin",103314575,247747,41966.45,102.755484583333,2022,2006
"Botswana",61968,315,209.920833333333,1.02631291666667,2000,2006
"Burkina Faso",190735263,701840,48009.0279166667,189.320750416667,2011,2001
"Burundi",60057016,163270,26043.2625,76.3838695833333,2020,2001
"Cabo Verde",1290,32,42.1075,1.04474666666667,2017,2006
"Cameroon",157789132,352073,32660.4341666667,75.41455125,2006,2004
"Central African Republic",41641286,129853,38382.1375,119.760300833333,2006,2006
"Chad",70784290,288394,22854.5220833333,93.8554870833333,2023,2020
"Comoros",619648,1553,4055.83041666667,10.1656495833333,2013,2013
"Congo",27321415,50980,25397.05875,48.1735970833333,2018,2001
"Côte d'Ivoire",201645001,505455,36943.2495833333,97.68000125,2011,2003
"Djibouti",360712,754,1857.45041666667,3.93674375,2020,2020
"DRC",656303228,2002808,37987.1416666667,122.146699583333,2023,2006
"Equatorial Guinea",9080055,15811,30618.6041666667,53.5375616666667,2015,2022
"Eritrea",1874134,3945,2542.54375,5.36103708333333,2023,2023
"Eswatini",10119,404,135.125416666667,5.57365041666667,2001,2000
"Ethiopia",187445859,394103,12900.83625,27.1757591666667,2013,2013
"Gabon",9942610,8660,22558.8283333333,19.9182816666667,2023,2023
"Gambia",8736379,13614,19429.0995833333,28.2656979166667,2012,2012
"Ghana",188191809,351150,30547.27125,58.1126754166667,2012,2000
"Guinea",97082103,283481,37151.76625,110.9210525,2012,2000
"Guinea-Bissau",4875460,23195,13096.47,61.5923779166667,2000,2000
"Kenya",97348147,260836,10314.9754166667,26.2035083333333,2001,2001
"Liberia",33157557,94437,34077.8179166667,99.4965325,2017,2000
"Madagascar",43932987,110240,7225.53166666667,18.0873475,2023,2023
"Malawi",113179459,248176,31478.34125,72.2521220833333,2010,2000
"Mali",155758836,462960,38501.845,121.781079166667,2023,2013
"Mauritania",5198108,15418,6206.875,18.4100445833333,2016,2016
"Mozambique",218919144,623328,38146.2091666667,113.892598333333,2021,2001
"Namibia",910630,10308,2283.68916666667,28.1829883333333,2004,2000
"Niger",152661807,658692,35335.14375,153.790995833333,2015,2020
"Nigeria",1401125873,4762819,34105.1295833333,119.045427083333,2023,2006
"Rwanda",52349314,84146,19445.1591666667,34.3097954166667,2017,2000
"Sao Tome and Principe",310242,1392,8086.92708333333,38.0618816666667,2002,2002
"Senegal",25653001,61183,8583.39916666667,20.1414629166667,2000,2000
"Sierra Leone",61136956,269159,39994.08875,183.723732083333,2011,2009
"Somalia",22245187,55542,7620.42083333333,19.1303916666667,2005,2005
"South Africa",233975,2374,187.370833333333,1.88085833333333,2001,2000
"South Sudan",64625324,189968,29184.4729166667,91.1664075,2013,2000
"Sudan",47611433,113950,5238.6375,12.5889766666667,2023,2023
"Tanzania",195207847,630511,18036.4425,58.4268466666667,2000,2000
"Togo",56946926,114080,34917.4670833333,71.56926875,2006,2005
"Uganda",290699310,610558,36545.9154166667,82.44027375,2009,2002
"Zambia",77651269,203652,22780.6483333333,61.5912454166667,2002,2000
"Zimbabwe",21540690,55132,8439.79666666667,21.6011679166667,2007,2007
